num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	2.828600892	1.49291138	1.854880873	1.41556317	1.537694759	-0.067740985
2	0	2.828600892	1.49291138	1.854880873	1.41556317	1.537694759	-0.067740985
3	0	2.841680024	1.534430758	1.860109982	1.428784683	1.537613471	-0.072889692
4	0	2.919389824	1.730061739	1.887709797	1.440865207	1.521020308	-0.086782925
5	0	3.065273381	1.954582568	1.917194469	1.441660775	1.48785927	-0.087670991
6	0	3.272400466	2.162536969	1.949532923	1.484807207	1.438001632	-0.093789444
7	0	3.441245543	2.347712508	1.983392001	1.549101163	1.362821817	-0.09811327
8	0	3.588930978	2.480872475	2.033820525	1.590653152	1.249304667	-0.100634433
9	0	3.673708306	2.490821675	2.08071039	1.686623486	1.143156778	-0.095044645
10	0	3.675807178	2.436392136	2.112561643	1.843432619	1.084900154	-0.124394851
11	0	3.576209294	2.347897738	2.120392082	1.963537206	1.091504643	-0.150461204
12	0	3.459448732	2.258595695	2.116952868	2.055407318	1.164128055	-0.189545491
13	0	3.333240021	2.221663717	2.058429505	2.182369542	1.287326304	-0.230270741
14	0	3.203263229	2.259630742	1.948502277	2.276896702	1.429053438	-0.262700266
15	0	3.146580269	2.344434939	1.82807849	2.296335602	1.516875773	-0.258776514
16	0	3.198478152	2.491506528	1.756049039	2.30599864	1.569063669	-0.249119342
17	0	3.357287104	2.658864635	1.798918403	2.379563937	1.603594429	-0.223609991
18	0	3.719664607	3.0187554	1.922000052	2.472857331	1.744390402	-0.156109294
19	0	4.079623021	3.41986822	2.072076486	2.562567375	1.887324022	-0.086814993
20	0	4.33644172	3.704438251	2.263014194	2.665933579	2.054190034	-0.04221371
21	0	4.52642476	3.900690877	2.402413501	2.750272363	2.182523061	-0.014979482
22	0	4.640415913	4.039041485	2.42311858	2.739036029	2.277567844	0.001727991
23	0	4.587387049	4.00666746	2.411218171	2.614156316	2.234380173	-0.031541252
24	0	4.43060856	3.798545024	2.362600152	2.425113736	2.121714129	-0.097594456
25	0	4.251822558	3.526325885	2.246471043	2.257571671	1.925164943	-0.152110156
26	0	4.036957687	3.170359917	2.137566067	2.142440411	1.701751228	-0.180188335
27	0	3.824497042	2.641143086	2.105577814	2.12379219	1.450346028	-0.200604159
28	0	3.783747758	2.272594178	2.21378158	2.271593466	1.314121928	-0.207443878
29	0	3.827904307	2.450483143	2.36663795	2.455834444	1.339420328	-0.191766394
30	0	3.878442788	2.697554287	2.542423643	2.52603352	1.448648251	-0.165620794
31	0	3.931628887	2.891624404	2.665469196	2.538644179	1.572470489	-0.152163506
32	0	3.947606373	3.065971443	2.762464931	2.539245711	1.689303508	-0.150920542
33	0	3.895455979	3.14825295	2.717464988	2.49133613	1.772201261	-0.158442953
34	0	3.807126507	3.078587367	2.629095871	2.415613894	1.744642666	-0.183198354
35	0	3.65495218	2.89087733	2.444252777	2.381460686	1.674124322	-0.255445282
36	0	3.485465641	2.689910442	2.235842572	2.340642146	1.568252923	-0.35595164
37	0	3.347511548	2.447599925	1.978406346	2.304571318	1.423049346	-0.442064334
38	0	3.238370527	2.229277233	1.777203804	2.2565889	1.269824357	-0.51009454
39	0	3.170696611	2.198535508	1.607508018	2.15627183	1.209875109	-0.553116163
40	0	3.136673192	2.239386719	1.548243872	2.040870197	1.20411008	-0.537869317
41	0	3.0699287	2.246542513	1.516261256	1.941042735	1.237085829	-0.46966694
42	0	3.012326683	2.241032017	1.491360152	1.889162569	1.304712449	-0.39451889
43	0	2.994998696	2.260328058	1.5453658	1.910246153	1.415800387	-0.319433647
