num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.00113795	0.000654779	0.00130814	0.000351882	0.996547
3	rest	0.000179876	0.000506329	0.000582685	0.000388475	0.998343
4	rest	0.000250045	0.000648388	0.000206907	5.67E-05	0.998838
5	rest	0.000105061	0.000196404	0.000199541	1.92E-05	0.99948
6	rest	0.000182767	0.00023826	0.000124005	6.66E-05	0.999388
7	rest	0.000134632	6.57E-05	1.96E-05	4.25E-05	0.999737
8	rest	0.000288023	0.000116038	0.000185986	0.000270673	0.999139
9	rest	8.85E-05	2.53E-05	3.97E-05	5.43E-05	0.999792
10	rest	0.000304314	4.81E-05	1.39E-05	5.12E-05	0.999582
11	rest	0.000114218	8.57E-05	9.60E-05	1.36E-05	0.99969
12	rest	8.12E-05	9.92E-05	8.68E-05	8.76E-05	0.999645
13	rest	0.000275328	0.000162642	0.000227616	0.000121688	0.999213
14	rest	0.00020692	0.000131167	0.000133787	0.000194177	0.999334
15	rest	0.00016098	7.26E-05	4.88E-05	0.00013484	0.999583
16	rest	8.72E-05	7.20E-05	0.000121325	2.91E-05	0.99969
17	rest	0.000107667	0.000226436	0.00032807	0.000183931	0.999154
18	rest	0.000135718	0.000208954	0.000131256	6.35E-05	0.999461
19	rest	0.00103845	0.000719303	0.000448266	0.00131187	0.996482
20	rest	0.000111676	0.000106346	0.000110948	5.13E-05	0.99962
21	rest	5.58E-05	4.49E-05	1.32E-05	4.87E-05	0.999837
22	rest	7.84E-05	0.00012359	0.000193461	0.000289347	0.999315
23	rest	0.000346017	0.000114551	0.000250925	0.000205598	0.999083
24	rest	0.000321152	0.000251059	0.000151341	0.000212417	0.999064
25	rest	0.000689353	0.00049988	0.000299572	0.000580733	0.99793
26	rest	0.000601689	0.000637067	0.000355707	0.000551347	0.997854
27	rest	0.000547771	0.000792401	0.000523028	0.00017555	0.997961
28	rest	0.000323329	0.00043207	0.000462598	0.00022172	0.99856
29	rest	0.00023013	0.00019295	6.70E-05	9.05E-05	0.999419
30	rest	0.000137727	0.000116672	4.02E-05	0.000105931	0.999599
31	rest	9.27E-05	5.52E-05	6.99E-05	4.36E-05	0.999739
32	rest	0.000103332	7.43E-05	5.02E-05	1.94E-05	0.999753
33	rest	0.000126582	2.98E-05	3.57E-05	8.95E-05	0.999718
34	rest	0.000786008	0.00030535	0.000629561	0.000427555	0.997852
35	rest	0.00035127	0.0001579	5.20E-05	3.47E-05	0.999404
36	rest	0.000267633	7.40E-05	8.55E-05	0.000108223	0.999465
37	rest	0.000236392	0.000206306	0.000536657	0.000193917	0.998827
38	rest	0.000677291	0.000225152	0.000461652	0.000354761	0.998281
39	rest	0.000152603	0.0002038	0.000113545	0.000136175	0.999394
40	rest	5.48E-05	0.000121762	4.35E-05	9.72E-05	0.999683
41	rest	1.16E-05	6.12E-05	3.32E-05	3.69E-05	0.999857
42	rest	7.41E-05	0.000281748	0.000300801	8.71E-05	0.999256
43	rest	0.000294565	0.000188869	0.000204664	7.93E-05	0.999233
44	rest	0.000259961	8.78E-05	0.000101364	0.000160896	0.99939
45	rest	0.000112267	0.000136649	0.000182293	0.000227942	0.999341
46	rest	0.000131341	0.000338365	0.000202621	0.000153258	0.999174
47	rest	4.87E-05	7.57E-05	8.19E-05	2.31E-05	0.999771
48	rest	0.000290556	7.24E-05	0.000546852	0.000215628	0.998875
49	rest	0.00072423	0.00044062	0.00107507	0.000463297	0.997297
50	rest	0.000477604	0.000202954	0.000146386	5.33E-05	0.99912
51	rest	0.00079762	0.000238403	0.000482284	6.08E-05	0.998421
52	rest	0.00226678	0.00035766	0.000378519	0.000173672	0.996823
53	rest	0.000878402	0.000104549	6.31E-05	3.54E-05	0.998919
54	rest	0.000729269	0.000157859	0.000113557	0.000256888	0.998742
55	rest	0.00052157	0.000192167	0.000246497	0.00020333	0.998836
56	rest	0.000488189	0.000209068	0.000113824	0.000402056	0.998787
57	rest	0.000442826	0.000486496	0.000938347	0.00112294	0.997009
58	rest	0.00101278	0.00100765	0.00037912	9.11E-05	0.997509
59	rest	0.000946124	0.000591591	0.000461805	0.000107366	0.997893
60	rest	0.000677578	0.000472714	0.000670597	5.83E-05	0.998121
61	rest	0.000371923	0.000187339	0.000170737	0.00010674	0.999163
62	rest	0.000357378	8.90E-05	0.000126152	0.00016107	0.999266
63	rest	9.32E-05	7.85E-05	6.24E-05	2.79E-05	0.999738
64	rest	5.94E-05	2.51E-05	1.53E-05	6.10E-05	0.999839
65	rest	0.000160746	0.000141042	0.000145735	0.00021166	0.999341
66	rest	0.00031309	0.000537431	9.99E-05	1.82E-05	0.999031
67	rest	4.13E-05	0.000116809	3.13E-05	0.000130244	0.99968
68	rest	1.80E-05	4.28E-05	4.96E-05	3.05E-05	0.999859
69	rest	0.000268242	0.000166759	0.000333972	4.27E-05	0.999188
70	rest	0.00095595	0.0004359	0.000845512	0.000142521	0.99762
71	rest	0.000795023	0.000126475	0.00015657	1.64E-05	0.998906
72	rest	0.000255918	8.64E-05	0.000173328	0.000283578	0.999201
73	rest	0.000138651	6.34E-05	6.24E-05	0.00050012	0.999235
74	rest	7.82E-05	3.39E-05	4.63E-05	3.03E-05	0.999811
75	rest	0.000185622	0.000154043	0.000268746	0.000143468	0.999248
76	rest	7.67E-05	3.95E-05	0.000124037	0.000105369	0.999654
77	rest	8.39E-06	1.16E-05	7.06E-06	1.02E-05	0.999963
78	rest	9.48E-05	0.00020876	0.00031267	0.000126217	0.999258
79	rest	0.000450529	0.000407853	0.00026907	7.98E-05	0.998793
80	rest	0.0018477	0.000300377	0.000440077	0.00111528	0.996297
81	rest	0.00198357	0.00111081	0.000857396	0.00139203	0.994656
82	rest	0.00140867	0.00113159	0.000511195	0.000300579	0.996648
83	rest	0.000488101	0.000127025	3.41E-05	0.000107958	0.999243
84	rest	0.000598184	0.00015806	0.000118039	9.68E-05	0.999029
85	rest	0.000379208	7.83E-05	2.59E-05	7.17E-05	0.999445
86	rest	0.00016118	4.31E-05	4.35E-05	3.42E-05	0.999718
87	rest	0.00015075	8.17E-05	7.16E-05	2.65E-05	0.999669
88	rest	2.56E-05	2.98E-05	3.29E-05	7.77E-05	0.999834
89	rest	8.32E-05	6.82E-05	3.32E-05	7.83E-05	0.999737
90	rest	0.000125747	0.000148728	7.02E-05	8.12E-05	0.999574
91	rest	7.51E-05	6.30E-05	3.65E-05	0.000127571	0.999698
92	rest	5.22E-05	0.0001292	7.30E-05	5.84E-05	0.999687
93	rest	7.85E-05	0.000108598	6.24E-05	9.16E-05	0.999659
94	rest	0.000178992	0.000139827	0.000292325	0.000397166	0.998992
95	rest	0.000296352	0.00029959	0.00142694	0.000397938	0.997579
96	rest	0.000759307	0.000159774	0.000607484	0.000321586	0.998152
97	rest	0.000470871	0.000196732	0.000666569	0.000153318	0.998513
98	rest	0.000223212	0.000183217	0.000360622	7.36E-05	0.999159
99	rest	0.000399679	0.000746547	0.000246409	0.000360335	0.998247
100	rest	0.000443361	0.000543907	0.000379061	0.000562763	0.998071
101	rest	0.000222391	0.000146653	7.26E-05	6.06E-05	0.999498
102	rest	0.000365392	0.000149488	0.000302117	6.40E-05	0.999119
103	rest	0.000457597	6.05E-05	0.000118759	0.000142711	0.99922
104	rest	0.000203504	8.35E-05	8.53E-05	4.56E-05	0.999582
105	rest	7.21E-05	2.23E-05	7.18E-05	2.63E-05	0.999808
106	rest	1.74E-05	3.86E-05	2.97E-05	1.03E-05	0.999904
107	rest	9.29E-05	0.000208929	0.000226189	0.000164619	0.999307
108	rest	8.03E-05	0.000150492	0.000329685	4.08E-05	0.999399
109	rest	0.000111485	9.27E-05	0.000129204	8.36E-05	0.999583
110	rest	0.000130917	0.000220637	7.96E-05	2.36E-05	0.999545
111	rest	0.000372574	0.000313603	0.000612186	0.0005923	0.998109
112	rest	0.000181726	0.000170802	4.38E-05	3.31E-05	0.999571
